Filename, Time(us)
rajat01, 24.086
lowThrust_2, 15.053
biplane-9, 43.016
large, 10.816
chesapeake, 0.191
bayer08, 13.881
gre_1107, 2.794
lp_capri, 1.042
rajat12, 7.151
bcspwr09, 4.947
G17, 5.108
spaceStation_9, 10.436
l9, 2.264
ex13, 40.352
TF15, 42.905
cavity11, 39.14
ch6-6-b3, 10.326
ukerbe1_dual, 3.445
lp_woodw, 22.595
GL6_D_6, 1.523
lhr10c, 127.255
bibd_9_5, 0.651
c-24, 21.713
scagr7-2r, 58.429
ch5-5-b3, 1.162
CAG_mat72, 0.541
relat5, 0.561
venkat25, 878.604
ex18, 37.418
jagmesh5, 4.627
G32, 3.836
lowThrust_5, 109.848
cell1, 17.427
pds-100, 659.368
can_144, 0.761
dynamicSoaringProblem_8, 21.182
CurlCurl_0, 65.23
fome11, 43.587
mesh1em1, 0.21
Zhao2, 80.774
g7jac010sc, 10.206
spaceStation_14, 13.03
cage5, 0.131
hvdc2, 1113.91
sc205-2r, 61.284
bodyy4, 88.595
D_9, 6.53
c-31, 46.321
jagmesh3, 4.377
rel3, 0.03
bcsstk27, 29.485
rgg010, 0.05
Zd_Jac2, 1071.71
rajat13, 26.09
bcsstk04, 1.943
ex5, 0.17
whitaker3, 29.455
mbeacxc, 31.318
fpga_dcop_19, 3.075
lop163, 0.471
raefsky3, 796.568
ck656, 1.923
Erdos981, 1.683
JapaneseVowelsSmall_10NN, 98.18
oscil_dcop_48, 0.851
arc130, 0.671
lp_pilot, 24.728
lp_pilot87, 43.176
Raj1, 688.332
nos5, 3.144
orsreg_1, 6.92
lp_fit2d, 92.061
Trefethen_500, 4.567
dwt_992, 8.824
can_229, 1.051
delaunay_n12, 14.472
dwt_2680, 14.843
commanche_dual, 20.802
c-39, 82.987
bcsstm39, 63.407
steam1, 1.933
adder_dcop_13, 7.111
freeFlyingRobot_12, 23.546
lp_sctap3, 4.818
GD96_c, 0.14
cz20468, 108.305
kineticBatchReactor_1, 11.708
lp_perold, 3.275
lp_scfxm1, 1.522
yeast, 8.934
Lin, 1057.47
lp_25fv47, 5.839
bcsstk13, 45.77
iiasa, 3.616
lock2232, 42.525
adder_dcop_30, 6.85
ch7-6-b3, 24.087
cavity07, 16.806
majorbasis, 842.208
ukerbe1, 8.583
dermatology_5NN, 1.432
mesh3e1, 1.122
IG5-8, 0.932
n2c6-b6, 19.119
ch4-4-b3, 0.06
G26, 20.581
gre_216a, 0.491
kl02, 151.362
lp_truss, 14.022
dwt_361, 1.713
lp_degen2, 2.214
torsion1, 124.39
cz10228, 53.702
ch6-6-b1, 0.461
foldoc, 102.086
adder_dcop_40, 6.841
bbmat, 988.232
kineticBatchReactor_7, 49.095
n3c6-b1, 0.12
bcsstk06, 4.356
ch7-9-b1, 1.532
Tina_DisCog, 0.04
r05, 67.684
nemswrld, 113.474
lp_gfrd_pnc, 1.412
oscil_dcop_49, 0.841
chem_master1, 97.469
D_10, 3.986
iprob, 5.068
fs_541_1, 2.163
ex11, 605.677
mesh2e1, 1.332
lp_bnl1, 3.035
g7jac020sc, 23.816
bcsstk12, 18.608
lshp_265, 1.052
lpi_box1, 0.341
torso2, 497.852
bips07_3078, 41.844
fpga_dcop_38, 3.045
rel5, 0.411
lns_3937, 12.329
coater2, 126.794
ex7, 28.063
mice_10NN, 7.261
ch7-6-b2, 6.03
c-47, 126.152
oscil_dcop_29, 0.841
breasttissue_10NN, 0.761
ex37, 35.414
goddardRocketProblem_1, 4.928
utm1700b, 11.228
internet, 731.339
can_24, 0.11
TF18, 1147.15
hangGlider_2, 8.503
fpga_dcop_49, 3.045
flower_8_1, 0.821
bayer10, 48.424
adder_dcop_05, 7.371
lp_ship12s, 4.297
Trefethen_150, 1.132
oscil_dcop_52, 0.841
bwm200, 0.401
fpga_dcop_08, 3.155
ACTIVSg70K, 470.139
progas, 4.637
mycielskian7, 0.801
steam2, 6.901
bcsstk35, 788.887
will199, 0.351
minsurfo, 128.807
fpga_dcop_02, 3.125
rajat24, 1367.27
cat_ears_3_4, 22.504
deter4, 9.554
mesh1em6, 0.21
lock1074, 27.682
ex3sta1, 34.342
cep1, 4.257
gemat1, 26.07
hvdc1, 91.52
hydr1, 11.838
bcsstm09, 1.492
meg4, 29.586
dw4096, 20.392
GL7d10, 0.02
mark3jac060sc, 92.512
c-32, 34.493
Erdos971, 1.613
uk, 7.241
Wordnet3, 265.316
flower_5_4, 24.488
fpga_dcop_36, 3.044
lp_czprob, 6.53
lp_scfxm3, 4.567
cz148, 0.811
shar_te2-b1, 16.726
bcsstm19, 1.121
as-caida, 151.372
radfr1, 6.52
powersim, 34.303
lp_d2q06c, 17.738
cage10, 76.346
t2dah_e, 96.046
lp_sierra, 3.976
oscil_dcop_30, 0.841
130bit, 3.295
gupta1, 1429.77
spaceStation_1, 0.511
olm2000, 3.846
p0548, 1.021
adder_dcop_55, 6.85
impcol_a, 0.311
circuit_1, 19.79
c-46, 83.368
fs_183_4, 0.601
ch3-3-b2, 0.03
shl_0, 1.041
onetone2, 140.004
NotreDame_yeast, 3.746
cari, 101.164
flower_5_1, 0.321
heart1, 928.24
p0040, 0.08
lp_agg, 1.653
adder_dcop_58, 6.851
orbitRaising_1, 1.663
fpga_dcop_44, 3.045
rajat22, 112.412
fs_541_4, 2.153
lp_pilot_we, 5.138
jagmesh9, 5.389
rkat7_mat5, 21.323
p010, 75.486
wb-cs-stanford, 23.756
fpga_dcop_30, 3.045
GD98_c, 0.171
gams60am, 1.312
freeFlyingRobot_2, 6.48
jan99jac100, 115.417
rdist3a, 31.468
plskz362, 0.922
lnsp_511, 1.372
dataset20mfeatpixel_10NN, 14.843
n3c5-b1, 0.06
ww_vref_6405, 26.431
spaceShuttleEntry_4, 21.483
lns_511, 1.392
cond-mat, 59.481
nsic, 1.843
685_bus, 2.534
mk12-b1, 1.492
G34, 3.846
lp_scfxm2, 3.054
rdist2, 28.914
spaceShuttleEntry_2, 12.69
dwt_419, 2.273
adder_dcop_45, 6.86
Pd, 8.292
nos7, 2.865
mk12-b2, 19.861
dtoc, 34.272
plbuckle, 16.645
G65, 15.293
model7, 27.392
fpga_dcop_17, 3.105
cvxqp3, 76.087
delaunay_n10, 3.585
lp_sc205, 0.36
mycielskian3, 0.03
msc01440, 24.377
G41, 12.82
lp_bore3d, 0.832
lund_b, 1.322
pcb1000, 12.559
TSOPF_RS_b162_c1, 109.838
aa4, 31.629
wiki-Vote, 64.609
Ragusa18, 0.05
lpl2, 17.447
li, 737.148
lshp_577, 2.344
rajat09, 69.496
wm3, 1.563
mark3jac020, 30.446
n2c6-b4, 7.181
rdb3200l, 9.284
ch8-8-b2, 26.951
collins_15NN, 8.533
bcsstk02, 2.384
ex15, 57.157
sctap1-2r, 92.571
cti, 48.484
swang2, 10.456
co9, 63.707
lp_pilot4, 2.704
EX4, 36.326
vsp_barth5_1Ksep_50in_5Kout, 172.424
M20PI_n, 1.432
nemsemm1, 711.919
rajat21, 1250.27
adder_dcop_23, 6.89
flower_4_1, 0.211
hep-th, 21.693
model4, 25.469
lowThrust_9, 121.897
adder_dcop_42, 6.841
adder_dcop_02, 8.082
cavity22, 70.818
lp_nug12, 18.298
G33, 3.836
deter0, 5.629
bcsstk15, 62.676
optdigits_10NN, 42.305
gams10am, 0.22
lp_nug15, 45.36
oscil_dcop_28, 0.841
b_dyn, 2.283
nemspmm1, 32.339
laser, 5.058
crystk03, 953.609
bibd_9_3, 0.14
cdde2, 2.283
dynamicSoaringProblem_5, 20.281
lowThrust_4, 91.741
str_400, 1.722
cavity20, 70.798
GD95_b, 0.071
primagaz, 12.84
Goodwin_023, 95.997
mk12-b3, 99.612
p0033, 0.07
G19, 5.088
as-22july06, 66.302
de080285, 2.714
adjnoun, 0.48
bcsstm23, 4.276
orbitRaising_4, 4.357
p2p-Gnutella24, 44.568
jan99jac040, 44.027
n4c6-b2, 1.933
bibd_81_2, 4.407
Franz7, 19.37
scrs8-2b, 3.635
bp_800, 2.934
watson_2, 975.041
GlossGT, 0.08
shl_400, 1.192
dolphins, 0.18
model3, 12.8
bibd_15_3, 0.671
reorientation_1, 4.046
nasa1824, 21.573
nemeth21, 675.433
ch4-4-b1, 0.09
n4c5-b9, 3.035
lowThrust_8, 120.024
USpowerGrid, 9.765
ex4, 17.797
rel7, 29.535
bcsstk20, 1.943
sctap1-2b, 49.486
reorientation_7, 20.752
pores_3, 1.742
benzene, 131.411
oscil_dcop_25, 0.832
oscil_dcop_14, 0.841
ford1, 66.882
adder_dcop_19, 7.061
nnc1374, 4.387
lpi_galenet, 0.03
oscil_dcop_09, 0.841
mimo8x8_system, 26.691
bp_1200, 2.955
Kemelmacher, 48.794
bp_1000, 2.945
qpband, 32.5
176bit, 51.449
G59, 32.35
nemscem, 2.003
dbic1, 723.798
viscorocks, 584.184
bp_1600, 3.195
n3c4-b2, 0.04
lowThrust_11, 124.14
fs_541_3, 2.154
freeFlyingRobot_16, 24.738
lp_vtp_base, 0.561
c-30, 40.862
well1850, 4.477
slptsk, 36.707
ak2010, 333.36
circuit_3, 25.689
luxembourg_osm, 205.174
M20PI_n1, 1.272
linverse, 54.423
GD99_c, 0.101
Trec3, 0.02
lshp3025, 12.268
rosen8, 9.594
ccc, 71.089
n3c6-b9, 11.999
Tina_AskCal, 0.03
M80PI_n1, 5.058
Zewail, 32.821
lp_sctap1, 0.941
cavity25, 71.069
n3c6-b2, 0.671
dataset22mfeatzernike_10NN, 14.112
G46, 10.296
tols90, 0.981
refine, 0.09
ex8, 54.723
south31, 57.288
bcsstk18, 93.903
aug3d, 34.372
ASIC_680ks, 1796.27
fe_4elt2, 34.542
3elt, 13.19
Glass_10NN, 1.602
adder_dcop_48, 6.841
adder_dcop_18, 7.001
t3dl_e, 27.663
494_bus, 1.332
lp_nug07, 2.033
lshp1009, 4.116
c-23, 18.549
adder_dcop_57, 6.841
Trefethen_2000, 22.865
G61, 21.824
stormg2-8, 16.595
poli3, 25.96
n4c5-b11, 0.07
adder_dcop_12, 7.141
astro-ph, 159.004
oscil_dcop_27, 0.841
c-51, 124.15
Erdos02, 11.648
freeFlyingRobot_13, 24.598
lowThrust_13, 124.781
windtunnel_evap2d, 118.942
se, 48.815
bcsstk34, 11.137
Chem97Zt, 37.137
p2p-Gnutella05, 20.662
SiO, 757.96
deter1, 16.165
oscil_dcop_07, 0.841
bcsstm02, 0.1
lp_fit2p, 25.95
D_7, 7.031
rajat14, 0.881
ex27, 21.613
D_6, 3.806
ch7-6-b5, 14.452
n3c6-b4, 7.191
08blocks, 0.361
scagr7-2c, 4.317
IG5-17, 636.113
bips98_1142, 22.234
cis-n4c6-b4, 47.903
lp_cre_c, 8.854
mbeaflw, 31.328
lhr02, 19.05
IG5-13, 48.865
c-19, 12.93
oscil_dcop_21, 0.841
ncvxqp1, 43.026
sphere3, 1.072
Goodwin_013, 29.455
cis-n4c6-b2, 1.923
dwt_66, 0.211
f855_mat9_I, 96.718
msc10848, 720.062
Trec8, 0.291
G29, 20.101
kineticBatchReactor_3, 30.807
jan99jac120sc, 137.22
ABACUS_shell_ud, 109.708
msc00726, 18.589
n4c6-b13, 42.185
lp_adlittle, 0.24
fpga_dcop_24, 3.075
lpi_ex73a, 0.24
extr1b, 5.748
n3c5-b4, 0.611
lp_scsd8, 4.267
G15, 5.088
Tina_DisCal, 0.04
ge, 25.619
rosen2, 27.402
qa8fk, 903.162
bodyy6, 87.243
ww_36_pmec_36, 0.631
appu, 1136.29
mycielskian8, 2.483
bloweybq, 42.966
ck104, 0.491
lp_grow7, 1.322
wheel_4_1, 0.07
hangGlider_5, 87.664
adder_dcop_62, 6.85
lpi_klein3, 7.011
Plants_10NN, 11.688
fpga_dcop_05, 3.125
lpi_bgetam, 1.262
bcsstm24, 4.857
model8, 14.012
fpga_dcop_14, 3.095
Oregon-2, 43.056
gams10a, 0.211
west0132, 0.231
m3plates, 10.516
adder_dcop_37, 6.85
stormg2-27, 54.924
celegans_metabolic, 2.384
qa8fm, 903.552
FA, 43.416
lp_ken_13, 55.285
west0655, 1.512
bcsstk14, 33.081
n4c5-b6, 15.844
p6000, 12.389
spmsrtls, 138.612
msc04515, 53.512
cq9, 56.316
ch7-8-b1, 1.162
Lederberg, 28.984
mixtank_new, 1107.71
mbeause, 25.919
lpi_pang, 1.622
mk9-b1, 0.391
meg1, 30.406
olm1000, 1.933
sit100, 37.237
jan99jac020, 21.062
olm5000, 9.564
poisson2D, 1.362
dynamicSoaringProblem_2, 8.764
G36, 12.81
aa3, 41.443
hor_131, 2.534
small, 1.683
lns_131, 0.28
fs_680_3, 1.292
jan99jac080sc, 91.971
bcspwr04, 1.172
bcspwr06, 4.627
